LGAs,Local Government Area,Output Year,Police Region,Police Regions,Selected Year,Year,Year Ending,Year ending,Criminial Incident Rate,Incidents Recorded,"Rate per 100,000 population",레코드 수
거짓,Total,2015,Justice Institutions and Immigration Facilities,거짓,거짓,2015,참,June,,731,,1
거짓,Total,2015,2 Eastern,참,거짓,2015,참,June,"4,602.90","75,038","4,602.90",1
거짓,Total,2015,4 Western,참,거짓,2015,참,June,"5,882.10","55,948","5,882.10",1
거짓,Total,2015,1 North West Metro,참,거짓,2015,참,June,"6,999.80","138,435","6,999.80",1
참, Manningham,2015,2 Eastern,참,거짓,2015,참,June,"2,757.80","3,331","2,757.80",1
참, Benalla,2015,2 Eastern,참,거짓,2015,참,June,"5,379.60",749,"5,379.60",1
참, Monash,2015,2 Eastern,참,거짓,2015,참,June,"3,755.30","7,104","3,755.30",1
참, Central Goldfields,2015,4 Western,참,거짓,2015,참,June,"6,247.10",809,"6,247.10",1
참, Moira,2015,2 Eastern,참,거짓,2015,참,June,"3,749.00","1,098","3,749.00",1
참, Swan Hill,2015,4 Western,참,거짓,2015,참,June,"7,739.40","1,617","7,739.40",1
참, Campaspe,2015,4 Western,참,거짓,2015,참,June,"6,230.50","2,332","6,230.50",1
참, Mansfield,2015,2 Eastern,참,거짓,2015,참,June,"3,892.10",332,"3,892.10",1
참, Yarriambiack,2015,4 Western,참,거짓,2015,참,June,"3,369.50",230,"3,369.50",1
참, Justice Institutions and Immigration Facilities,2015,Justice Institutions and Immigration Facilities,거짓,거짓,2015,참,June,,731,,1
참, Pyrenees,2015,4 Western,참,거짓,2015,참,June,"5,140.00",369,"5,140.00",1
참, Wellington,2015,2 Eastern,참,거짓,2015,참,June,"6,816.90","2,943","6,816.90",1
참, Moyne,2015,4 Western,참,거짓,2015,참,June,"2,579.70",428,"2,579.70",1
참, Whittlesea,2015,1 North West Metro,참,거짓,2015,참,June,"5,049.60","9,940","5,049.60",1
참, Hobsons Bay,2015,1 North West Metro,참,거짓,2015,참,June,"5,823.90","5,339","5,823.90",1
참, Loddon,2015,4 Western,참,거짓,2015,참,June,"3,425.80",258,"3,425.80",1
참, Port Phillip,2015,3 Southern Metro,참,거짓,2015,참,June,"8,687.60","9,242","8,687.60",1
참, Mildura,2015,4 Western,참,거짓,2015,참,June,"8,464.40","4,584","8,464.40",1
참, Bayside,2015,3 Southern Metro,참,거짓,2015,참,June,"3,367.30","3,410","3,367.30",1
참, Gannawarra,2015,4 Western,참,거짓,2015,참,June,"3,929.40",414,"3,929.40",1
참, Moreland,2015,1 North West Metro,참,거짓,2015,참,June,"6,206.60","10,419","6,206.60",1
참, Whitehorse,2015,2 Eastern,참,거짓,2015,참,June,"3,481.50","5,803","3,481.50",1
참, Murrindindi,2015,2 Eastern,참,거짓,2015,참,June,"3,704.50",513,"3,704.50",1
참, Warrnambool,2015,4 Western,참,거짓,2015,참,June,"6,049.10","2,057","6,049.10",1
참, Surf Coast,2015,4 Western,참,거짓,2015,참,June,"3,189.90",945,"3,189.90",1
참, Indigo,2015,2 Eastern,참,거짓,2015,참,June,"2,173.10",346,"2,173.10",1
참, Cardinia,2015,3 Southern Metro,참,거짓,2015,참,June,"4,549.40","4,199","4,549.40",1
참, Horsham,2015,4 Western,참,거짓,2015,참,June,"9,599.80","1,900","9,599.80",1
참, Yarra,2015,1 North West Metro,참,거짓,2015,참,June,"10,802.60","9,714","10,802.60",1
참, Maribyrnong,2015,1 North West Metro,참,거짓,2015,참,June,"7,605.30","6,448","7,605.30",1
참, Buloke,2015,4 Western,참,거짓,2015,참,June,"3,139.90",198,"3,139.90",1
참, East Gippsland,2015,2 Eastern,참,거짓,2015,참,June,"6,795.50","3,049","6,795.50",1
참, Hume,2015,1 North West Metro,참,거짓,2015,참,June,"7,067.50","14,006","7,067.50",1
참, Wangaratta,2015,2 Eastern,참,거짓,2015,참,June,"5,589.30","1,573","5,589.30",1
참, Alpine,2015,2 Eastern,참,거짓,2015,참,June,"2,630.90",327,"2,630.90",1
참, Unincorporated Vic,2015,Unincorporated Vic,거짓,거짓,2015,참,June,,110,,1
참, Greater Geelong,2015,4 Western,참,거짓,2015,참,June,"6,447.50","15,018","6,447.50",1
참, Darebin,2015,1 North West Metro,참,거짓,2015,참,June,"7,181.50","10,914","7,181.50",1
참, Hindmarsh,2015,4 Western,참,거짓,2015,참,June,"2,410.50",140,"2,410.50",1
참, Latrobe,2015,2 Eastern,참,거짓,2015,참,June,"11,314.70","8,403","11,314.70",1
참, Queenscliffe,2015,4 Western,참,거짓,2015,참,June,"4,125.50",121,"4,125.50",1
참, Wyndham,2015,1 North West Metro,참,거짓,2015,참,June,"4,805.60","10,275","4,805.60",1
참, Nillumbik,2015,1 North West Metro,참,거짓,2015,참,June,"2,716.90","1,730","2,716.90",1
참, Baw Baw,2015,2 Eastern,참,거짓,2015,참,June,"4,956.40","2,371","4,956.40",1
참, South Gippsland,2015,2 Eastern,참,거짓,2015,참,June,"3,241.70",933,"3,241.70",1
참, Kingston,2015,3 Southern Metro,참,거짓,2015,참,June,"4,809.10","7,514","4,809.10",1
참, Greater Dandenong,2015,3 Southern Metro,참,거짓,2015,참,June,"8,137.80","12,700","8,137.80",1
참, Melton,2015,1 North West Metro,참,거짓,2015,참,June,"5,696.90","7,686","5,696.90",1
참, Greater Shepparton,2015,2 Eastern,참,거짓,2015,참,June,"8,573.60","5,529","8,573.60",1
참, Moorabool,2015,4 Western,참,거짓,2015,참,June,"4,800.30","1,524","4,800.30",1
참, Golden Plains,2015,4 Western,참,거짓,2015,참,June,"2,454.60",525,"2,454.60",1
참, Southern Grampians,2015,4 Western,참,거짓,2015,참,June,"4,467.30",722,"4,467.30",1
참, Yarra Ranges,2015,2 Eastern,참,거짓,2015,참,June,"3,356.80","5,149","3,356.80",1
참, Knox,2015,2 Eastern,참,거짓,2015,참,June,"4,429.70","7,030","4,429.70",1
참, Mount Alexander,2015,4 Western,참,거짓,2015,참,June,"3,453.20",649,"3,453.20",1
참, Frankston,2015,3 Southern Metro,참,거짓,2015,참,June,"7,687.80","10,593","7,687.80",1
